Timestamp,Country,Age,How did you know about the podcast?,Number artworks,Time when you listened to the podcast,How much didi you enjoy the podcast?,Interest before,Knowledge before,Interest after,Knowledge after,What did you learn today?,Did you look more into black holes?,"If yes, how?",Effect on how you see astronomers and astronomy?,How much did you like it?,Would you participate again?,Inspiration for mixing arts and science,"Recibimos muchas obras donde se representaba la ""espaguetización"",  el efecto ""de estiramiento"" debido a la fuerte gravedad cerca de un agujero negro. Nos preguntábamos cuál de las sientes opciones piensas que es la más correcta: ""La Humanidad...","Acá te dejo un espacio para que me cuentes lo que quieras  sobre el podcast, las preguntas que te quedaron por responder, cualquier cosa que quieras relacionado con esta experiencia de mezclar arte y ciencia. También te agradecería consejos, o si tenés ideas de que otras cosas te gustaría hacer, etc. TODO me ayuda. MIL GRACIAS"
15/10/2020 20:07:37,Colombia,21,Propaganda en Instagram,1,Antes de hacer la obra,5,5,4,5,5,,Sí,,,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
15/10/2020 20:16:06,México,19,Propaganda en Facebook,1,despues de hacer la obra,5,3,1,4,3,"Aprendí que no se ven los agujeros negros, pero se observa como interactúan con su alrededor, eso me pareció muy interesante.",Sí,"Para mi era un mundo totalmente desconocido, antes no me parecía tan interesante investigar sobre la astronomía, pero al relacionarlo con el arte, me hizo interesarme más, porque ya lo veía desde otra perspectiva.",Sí,5,5,5,"todavía no pudo visitar agujeros negros, pero si quisiéramos podríamos estar ahí en unas semanas","Me pareció una gran experiencia, me ayudó a investigar más sobre la ciencia, y poder ver todo de otra manera a como lo hacía en la escuela, aquí tuve la libertad de analizar lo que había investigado y dejar volar mi imaginación de como representar eso en una escultura. Espero hagan esto el siguiente año, porque sin dudarlo voy a participar. "
15/10/2020 20:16:08,Colombia 🇨🇴,17,Propaganda en Facebook,1,Antes de hacer la obra,4,4,3,4,5,"El proceso de espaguetizacion lo conocía pero no sabía cómo se llamaba, no sabía cómo nacían ni de dónde obtenían energía, ni como se les había ocurrido estudiarlos siendo un objeto espacial tan lejano y extraño.",Sí,"Es interesante como por medio de análisis, se puede estudiar objetos que están tan lejos de nosotros",Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Mezclar ejemplos de la tierra, o experimentos que uno pueda hacer en casa para tener un mejor entendimiento de las cosas"
15/10/2020 20:17:34,España,52,Diego se contactó con vos  en Instagram,3,nunca,,4,3,,,,No,,No,5,5,3,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
15/10/2020 20:20:37,México,32,Propaganda en Facebook,13,Antes de hacer la obra,5,3,4,5,4,"- Como nacen los agujeros negros y sus características.
- que pasaría si una persona entra en uno
- como los astrónomos identifican los agujeros
",Sí,"Siempre me gusta mezclar el arte y la ciencia, cuando tengo oportunidad de llevar esto a actividades en el aula, lo hago con mis estudiantes, para que conozcan como la ciencia y el arte pueden ir de la mano y crear cosas muy interesantes.

También me ha motivado a tomar cosas, elementos o fenómenos de la astronomía y que suceden en el espacio para crear obras y ampliar las posibilidades de mis alumnos y mías en el arte.",Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Como lo comete en la experiencia que te mande, fue una gran experiencia tanto para mis estudiantes como para mi, muy motivadora al escuchar el tema directo de un astrónomo y no de un video o en libros, creo que eso fue un gran plus para mis alumnos.

Es fascínate hacer esta mezcla entre ciencia y tecnología, llevo haciéndolo por varios años y los resultados son increíbles ya ahora crear obras basadas en astronomía me motiva mucho mas a seguir trabajando en esto y seguir motivando a mis alumnos.

Gracias por esta oportunidad."
15/10/2020 20:20:39,Argentina,50,Propaganda en Instagram,3,despues de hacer la obra,5,5,3,5,4,,No,,No,5,5,3,,
15/10/2020 20:24:08,Colombia ,27,Propaganda en Facebook,1,despues de hacer la obra,4,2,2,5,5,,Sí,,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual, nos llevaría meses llegar, pero llegaríamos.",
15/10/2020 20:24:46,Colombia,22,Diego se contactó con vos en Facebook,1,mientras que hacia la obra,4,5,5,5,5,,Sí,"Todas las obras que yo he realizado como artista, siempre está relacionado con la astronomía. ",Sí,3,5,3,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","La astronomía ha sido una parte muy importante en mi vida al igual que el arte, por eso decidí combinar ambos aspectos. Y también es una manera muy bonita de mostrar la belleza de la astronomía.

Sin duda participaría en los próximos concursos, me gustaría que hubiera algún concurso de Nebulosas, planetas o galaxias, cualquier cosa. Siempre es importante enseñar lo hermoso de la astronomía."
15/10/2020 20:25:34,México ,22,Propaganda en Facebook,1,Antes de hacer la obra,4,5,4,5,4,"Aprendí el término ""espaguietización"" y lo que conlleva, también sobre cómo se alimentan algunos agujeros negros a partir de estrellas u otros cuerpos celestes ",Sí,Ahora la veo que el arte y la ciencia no es peleados ,Sí,4,5,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
15/10/2020 20:30:00,argentina,18,Propaganda en Facebook,1,mientras que hacia la obra,4,3,2,,4,,Sí,,No,4,5,3,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
15/10/2020 20:58:42,México ,15,Propaganda en Facebook,1,nunca,,4,3,,,,Sí,,No,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
15/10/2020 21:02:35,Argentina,53,Podcasts de cienciaes.com,1,Antes de hacer la obra,5,4,3,4,4,,Sí,"Me sirvió para confirmar que un científico no es una persona inaccesible para los que no formamos parte de círculo científico alguno, y que incluso algunos científicos, están bien dispuestos a intercambiar ideas sobre un tema en el que son expertos con alguien que sabe muy poco sobre su materia de investigación. 
Gracias por explicar temas científicos en términos que todos podamos comprender!",Sí,4,4,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
15/10/2020 21:19:27,ECUADOR,42,MAIL,4,Antes de hacer la obra,5,4,3,5,5,LA ESTRUCTURA DE  LOS AGUJEROS NEGROS.,Sí,HA  INCREMENTADO MI INTERÉS Y ARGUMENTOS DE OPINIÓ.,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",FELICITACIONES!
15/10/2020 21:20:23,Chile,28,Propaganda en Facebook,2,Antes de hacer la obra,4,4,3,5,4,Aprendí que nisiquiera la luz puede escapar del agujero negro cuando ya se cruza este horizonte de sucesos. Nada puede escapar. Eso me hace ver estos agujeros negros como verdaderas bestias colosales que devoran todo a su paso.,Sí,"Veía a los Astronomos solo como científicos, investigadores, pero hoy los veo como verdaderos artesanos de las estrellas. Hay poesía en su búsqueda, en sus estudios. La ciencia tambien es parte del arte y viceversa.",Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Me gustaría saber mas sobre el comportamientos de estos colosos y si han influido de alguna manera trascendental en la historia del Universo. Tambien me causa mucha curiosidad si los agujeros negros pudiesen estar conectado a otro tipo de universos paralelos, otra realidad o simplemente otro lugar de nuestro Universo?"
15/10/2020 21:20:47,El Salvador,13,Propaganda en Facebook,1,Antes de hacer la obra,5,3,2,4,4,Aprendí que nadie sabe que hay dentro de los agujeros negros y que hay 1 en la galaxia con más luz también que son tan densos que por eso pueden absorber luz,Sí,Pensé que teníamos menos información de los agujeros negros pero veo que sabemos mucho y hemos llegado muy lejos en la ciencia al punto de averiguar mucho sobre algo que pudimos ver hace relativamente poco tiempo,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual, nos llevaría meses llegar, pero llegaríamos.",Habido muy interesante es algo difícil plasmar todo lo que lleva o or detrás un agujero negro porque a simple vista así se ve (un agujero negro) pero lleva Muchas cosas por detrás (como una estrella se llega a convertir en un agujero negro campo gravitaciónal etc.)
15/10/2020 21:27:50,Ecuador,22,Propaganda en Facebook,2,Antes de hacer la obra,5,4,2,5,5,Aprendí sobre la inmensidad del espacio y la gran fuerza de los agujeros negros así como los fenómenos que estos desencadenan ,Sí,,No,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
15/10/2020 21:37:54,Estados unidos,33,Podcast,1,Antes de hacer la obra,5,4,3,5,4,Me gusto la parte de los posibles fenómenos físicos que se podrían experimentar en un agujero negro,Sí,"Me inspiro a pensar que la ciencia y el arte pueden ir de la mano, me renació el gusto por leer un poco más e investigar sobre el tema ",Sí,5,5,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",Ojalá pronto se pueda hacer un nuevo concurso y podcast sobre estos temas.. personalmente me tocó escuchar el podcast mientras estaba en cuarentena y trabajando desde casa y me permitió encontrar inspiración para retomar un Pasatiempo que había dejado como es la pintura 
15/10/2020 21:38:19,Uruguay,38,Diego se contactó con vos  en Instagram,1,despues de hacer la obra,4,3,3,3,4,Cómo algo tan pequeño puede contener la masa de millones de soles.,Sí,,No,3,3,3,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",
15/10/2020 21:39:15,argentina,28,Diego se contactó con vos  en Instagram,1,Antes de hacer la obra,5,5,3,5,5,Que los agujeros negros existen,Sí,Estuve más pendiente de ver que publicaban,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Me parece que se dilató mucho el concurso, hace meses que inició y especulan con resultados. "
15/10/2020 22:18:43,Argentina,39,Diego se contactó con vos  en Instagram,2,despues de hacer la obra,4,4,3,4,4,,Sí,"El hecho de participar en el concurso ayudó a incentivar mi curiosidad. Estoy escribiendo un libro de ficción y en el patio al ver un panadero (planta) se me ocurrió una idea rara que me dije me podía ser útil para el concurso y mi libro. Para satisfacer ambas condiciones me tuve que poner a leer, profundizar, y eso siempre da perspectiva en cuanto a astronomía.
Ni hablar que lo que más me maravilla de este concurso es la ocurrencia de mezclar ciencia con arte, que es algo que se necesita más. Y eso me da un poco más de fe en la mentalidad que tenemos algunos en el ambiente científico.",Sí,5,5,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Me gustaría saber sobre hipótesis o ideas ficticias pero que podrían sustentarse algún día, que relacionen agujeros negros, universos paralelos, el big bang, u las dimensiones que describan las teorías de cuerdas. Gracias a vos Diego por tu disposición e idea!"
15/10/2020 22:24:17,Argentina,56,Amigos,1,Antes de hacer la obra,3,5,2,5,3,,Sí,,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Es evidente que el concurso despertó mucho interés, tal vez por lo desconocido, pero a su vez tan presente. 
El arte seguro es un puente para acercarse a otros temas. 
Gracias
Pude ver el alto compromiso con el concurso. 
gracias"
15/10/2020 22:36:05,Colombia,37,Diego se contactó con vos  en Instagram,1,mientras que hacia la obra,4,3,2,4,2,...,Sí,0,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",0
15/10/2020 22:50:40,Argentina,45,Diego se contactó con vos en Facebook,1,despues de hacer la obra,5,5,3,5,3,💫,No,,No,5,5,5,,
15/10/2020 23:17:56,Panamá,27,Diego se contactó con vos  en Instagram,1,despues de hacer la obra,5,3,3,4,4,"me gusto mucho la parte donde explicaban las distancias a la que tendrían que estar ciertos objetos para ser atraídos por los agujeros, cuanta presión habría que ejercer en ciertos objetos para convertirlos en agujeros. la verdad me gusto mucho ",Sí,"me parece tan espectacular la inmensidad de lo estudian, pienso y debato conmigo mismo sobre lo genial que hay que ser para poder explicar cosas tan inexplicables y no solo eso; cosas que ni siquiera pensábamos que podían existir. 
y a veces me pongo a investigar o ver para aprender un poco mas sobre el tema.",Sí,3,5,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","La verdad me gusto mucho el podcast pues aprendí cosas que no las tenia tan claras y efectivamente me hizo pensar mucho mas en el como.... 
a raíz del concurso me han surgido varias ideas para combinar la fotografía y edición.
Pienso que la presentación de las obras se pudieron presentar de una manera mas personalizada.
y un poco mas de interacción.

saludos 
Andres Lauz "
15/10/2020 23:25:52,Mexico,32,Propaganda en Facebook,1,nunca,2,5,3,4,4,Revise la pagina y busque informacion sobre el tema e imagenes.,Sí,Me parece que es un tema muy interesante los agujeros negros y que se le debe dar mas difusion al tema,Sí,5,5,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual, nos llevaría meses llegar, pero llegaríamos.",
15/10/2020 23:34:46,México,25,Propaganda en Facebook,3,Antes de hacer la obra,3,4,2,4,2,Que uno no puede llegar a un agujero negro que tardaría mucho tiempo en años luz  para llegar ahí.,Sí,"Me he dado cuenta que me gusta más la ciencia de lo que pensaba y que tiene mas cosas en común con el arte , en realidad  me he confundido mas sobre como son los agujeros negros con el podcast pues tengo mas dudas  pero lo mas importante es que  ha despertado en mi curiosidad sobre la astronomía y los descubrimientos acerca de ello.
",Sí,3,5,4,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.","Ojalá puedan mezclar la astronomía  mas allá las expresiones y dinámicas en redes sociales también desde  punto de vista didáctico que nos ayude a entender como funcionan los fenómenos del universo
No entendí del todo los agujeros negros, me  gustaría saber de algunas fuentes que se pueda saber de ellos con un lenguaje claro pues he investigado al respecto pero me cuesta trabajo saber que es lo que quieren decir por el uso de tecnicismos. "
16/10/2020 00:25:47,Bolivia,34,Diego se contactó con vos  en Instagram,1,despues de hacer la obra,5,5,1,5,3,Despertó nuevamente mi interés en la astronomía después de mucho tiempo. ,Sí,Siento que el conocimiento se adquiere de una forma diferente en la actualidad. La democratización del saber atraves de internet ha llevado a que el interés de muchas personas de contextos diferentes tengas acceso a este saber. ,Sí,5,5,5,"todavía no pudo visitar agujeros negros,  y con la tecnología actual tardaríamos miles de años en llegar al agujero negro mas cercano.",Muchísimas gracias!
