Timestamp,Country,Age,How much did you enjoy the podcast?,"How much did you enjoy, even if distant?",Interest before,Interest after,What did you learn today?,Did you look more into black holes?,¿Participaste del concurso de arte #astroarteagujero? ,¿Cuánto disfrutaste del concurso de Arte?,¿Participarías de nuevo si hacemos un concurso nuevo?,"Te gustaría contarme algo sobre la charla, las preguntas que me hiciste, cualquier cosa que quieras relacionado con esta experiencia de mezclar arte y ciencia. También te agradecería consejos, o si tenes ideas de que otras cosas te gustaría hacer, etc. TODO me ayuda. MIL GRACIAS",¿Me contarías por que no participaste del concurso? ,¿Participarías de nuevo si hacemos un concurso nuevo?,"Te gustaría contarme algo sobre la charla, las preguntas que me hiciste, cualquier cosa que quieras relacionado con esta experiencia de mezclar arte y ciencia. También te agradecería consejos, o si tenes ideas de que otras cosas te gustaría hacer, etc. TODO me ayuda. MIL GRACIAS"
11/09/2020 15:02:46,México,15,5,5,5,5,"Aprendí gran variedad de cosas y averigüe mis dudas, tales como, ubicación, tamaño, etc.",Sí,SI,5,5,"Fue una experiencia inolvidable, la temática fue de mi interés al saber que sería una mezcla entre ciencia y arte.",,,
11/09/2020 15:03:18,,,,,,,,,,,,,,,
11/09/2020 15:10:48,México ,13,5,5,3,5,Si,Sí,SI,5,5,,,,
11/09/2020 15:24:21,México ,14,5,5,4,5,"Un agujero negro siempre esta acompañado de una estrella, también que el tiempo adentro del agujero negro varia puede ser mas rápido o mas lento ",Sí,SI,5,5,Fue una experiencia muy bonita ya que aprendí más sobre los agujeros negros y como lo puedes representar mediante el arte.,,,
11/09/2020 15:52:42,Mexico ,13,5,5,4,5,Sobre como es el proceso antes y dentro de un agujero negro,Sí,SI,5,5,"Como se forma, el proceso de espaguetizacion y si algún agujero puede consumir la tierra",,,
11/09/2020 15:57:30,México ,12,5,5,3,5,Que un agujero negro siempre va acompañado de una estrella,Sí,SI,5,5,Recuerdo que le pregunté sobre qué pasaría si chocan 2 agujeros y me respondió que se formarían en uno solo pero más grande,,,
11/09/2020 16:02:27,México,14,5,5,5,5,En la charla con el maestro Diego Altamirano fue muy interesante ya que aprendí muchas cosas nuevas de las que no sabía cómo por ejemplo.¿Que pasaría al entrar a un agujero negro? ¿Que pasaría si un agujero negro chocará contra otro?¿Un agujero negro es capaz de tragar a el planeta tierra?¿Cuántos tipos de agujeros negros hay? Y haci y muchas cosas más aprendí de acuerdo al tema,Sí,SI,5,5,"Para empezar en la plática del Diego Altamirano aprendí muchas cosas nuevas de las que no conocía. En el transcurso de este concurso investigue e indague más sobre el tema por lo cual aprendí que los agujeros negros son un gran y absoluto misterio.
Si se realizará otro concurso como este yo estaría dispuesta a volver a participar ya que está fue una gran experiencia, participar en un concurso que relacionen el arte y la ciencia.
Atte: Pamela Rodríguez Velazquez
""Agujeros negros en el espacio""",,,
11/09/2020 17:55:07,México,15,4,4,2,4,,Sí,SI,4,3,,,,
11/09/2020 21:30:50,México,14,4,4,4,5,,No,SI,5,4,,,,
12/09/2020 16:24:34,Mexico,16,4,3,5,5,Que son estrellas que explotan y que su energia hace que se forme el hoyo negro,Sí,SI,4,5,"Yo me interese con los ""portales"" que muchas personas afisionadas con la ciencia ficción , ya que esto suena muy increible pero no es sierto pero yo se que hay algo dentro de ellos ppr eso me intereso este gran concurso",,,
12/09/2020 17:24:13,México,14,5,5,3,5,Los agujeros negros tienen una concentración de masa en su interior y nada ni siquiera la luz puede salir de su campo gravitatorio,Sí,SI,5,5,"Fue un muy buen concurso, estuvo maravilloso y me encantó como mezcló el arte con la ciencia.
Estaría muy bien que realice más concursos como esté.",,,
17/09/2020 16:31:44,Ecuador ,14,4,5,4,5,Aprendí que el tiempo es mas lento dentro de los agujeros negros ,No,NO,,,,"No sabia sobre el concurso, si no si hubiera participado ",4,Me gusto mucho la charla y la manera en la que explico todo. 
17/09/2020 16:34:14,Ecuador-Guayaquil,14,5,5,3,4,Aprendi que nadie se puede meter a un agujero negro. ,No,NO,,,,No sabia mucho de que se trataba.,4,Me gusto la charla porque aprendi cosas nuevas. 
17/09/2020 16:34:43,Ecuador,14,5,5,4,4,Por medio de la charla aprendí mas a profundidad que es un agujero negro y como puedo verlo por medio de telescopios del espacio. Ademas aprendí que es imposible salir de un agujero negro.,Sí,NO,,,,Porque no tenia mucho tiempo para realizar mi trabajo.,3,"La charla me pareció muy interesante porque aprendí mucho por medio de ella. Tal una idea para la próxima puede ser un juego como Kahoot, luego de la explicación. "
17/09/2020 16:36:37,Ecuador ,15,4,4,2,4,Aprendí que los agujeros negros pueden ser bastante peligrosos. Hay también dos tipos de agujeros negros. Hay probabilidades además de poder viajar a través de un agujero negro. ,No,NO,,,,"No participe en el curso porque al principio no lo entendí muy bien, como hacerlo y no soy tan buena dibujando. ",3,"Entendí todo muy bien, me gusto las diferentes explicaciones y los datos que nos compartieron a todas. Me gusta mucho la ciencia y el espacio pero no tengo otras dudas ya que todo me quedo bastante claro. "
17/09/2020 17:34:22,Ecuador,14,4,4,2,3,"- Que dos masas siempre se atraen, así que como la tierra tiene masa y nosotros tenemos masa, nos atraemos.
- El tamaño de los agujeros negros chicos es 10 veces la masa del sol.
- No se puede viajar más rápido de la luz.
- Los astrónomos usan telescopios espaciales.
- Si entras a un agujero negro no puedes escapar.",No,NO,,,,No estuve interesada en participar en el concurso.,3,"- Que las charlas sean más activas, que no sean solo hablar.
- Cuando explique que utilice cosas, por ejemplo cuando explique la gravedad puede utilizar una pelota.

Pero, sobretodo la charla estuvo super chevere, y espero que haya otro algún día."
06/10/2020 16:10:14,Ecuador,18,3,4,2,5,Que es difícil investigar sobre los agujeros negros porque lo que entra ahi no sale,No,NO,,,,No sabia que podia participar,4,"Estuvo muy interesante la charla, aprendi cosas que no se me hubiera ocurrido saber. No me dio el tiempo para hacer preguntas. Y me gusta la idea de mezclar el arte con la ciencia porque me gustan las dos materias "
06/10/2020 16:11:21,Ecuador ,17,5,5,3,5,"Aprendí acerca de la velocidad de escape, la espaguetización, y en general, el concepto de agujero negro.",Sí,SI,5,5,"Me gustaría que la charla dure más tiempo, porque creo que no alcanzamos a realizar todas las preguntas! ",,,
06/10/2020 16:11:48,Ecuador ,18,5,5,5,5,La formación de los agujeros negros y características ,No,NO,,,,Estaba muy ocupada por el ib y no sé dibujar ,2,
06/10/2020 16:17:53,Ecuador,17,5,5,1,4,"Que los agujeros negros se producen por el colapso de estrellas, que pueden destruir nuestro sistema solar, y que adentro de ellos se aceleran los objetos a la velocidad de la luz",Sí,NO,,,,No fui informada del concurso a tiempo,5,Básicamente me gustaría indagar más en el tema de los agujeros negros... por ejemplo estos se pueden destruir? O que pasaría si un ser humano se mete en un agujero negro? 
06/10/2020 16:18:24,Ecuador,17,2,4,1,3,Qué los agujeros negros se podrían tragar la tierra,Sí,NO,,,,No sabía ,5,Me gustó mucho que contestó todas las preguntas; puso su tiempo a nuestra disposición. Hubiera sido chévere que tenga más interacción con nosotras 
06/10/2020 16:22:40,Ecuador,17,5,5,3,4,Sobre todo lo que engloba los agujeros negros y relacionado con la física,Sí,NO,,,,No soy artista,1,
06/10/2020 16:27:53,Ecuador,16,3,4,3,4,Que hasta el día de hoy no se sabe con precisión como son los agujeros negros y que es lo que hay después de cruzar ese límite de horizonte ,No,NO,,,,porque me enteré relativamente tarde del concurso ,3,Me gusto mucho la charla! muy entretenida las imagines visuales realmente me ayudaron 
06/10/2020 16:27:58,Ecuador ,17,3,4,1,3,,No,NO,,,,No soy muy creativa,,
06/10/2020 16:29:18,Ecuador ,16,5,5,2,4,,Sí,NO,,,,No tuve tiempo :( ,5,
06/10/2020 16:31:42,Ecuador,16,4,4,3,3,,No,NO,,,,No sabía que había un concurso,3,
06/10/2020 16:49:42,Ecuador,14,5,5,4,5,"Aprendí que no se saben muchas cosas de los agujeros negros, y que es difícil encontrarlos en el espacio. Además, aprendí como son formados, y como es el proceso de la absorción de una estrella",Sí,SI,5,5,"En este momento no recuerdo que preguntas hice en la charla, pero me gustaría decir que me encantó unir la ciencia y el arte, por que son cosas que me encantan. Aconsejo que usen el arte para explicar en alguna otra charla acerca de los agujeros, por que el arte es más explicativo, y nos ayuda a entender mejor.",,,
06/10/2020 17:17:31,Ecuador,17,5,5,5,5,Que los agujeros negros son difíciles de estudiar y que sería imposible caer en uno ya que no podríamos ni acercarnos a uno.,Sí,NO,,,,Porque estaba un poco apretada con el tiempo debido a que estoy certificando diploma IB en mi colegio:(,3,Me pregunte si tal vez en un futuro podríamos llegar a saber de verdad que son y de que son capaces los agujeros negros. Siento que su existencia es la causa o funcionamiento de algo aún más interesante en la galaxia. Tal vez se podría crear un concurso de literatura para crear cuentos cortos donde las personas expresen sus teorías sobre el funcionamiento u origen de estos agujeros negros. La charla me pareció excelente y muy interesante. No cambiaría nada.
06/10/2020 17:28:54,Ecuador,15,5,4,3,5,,Sí,NO,,,,"Si quise, sin embargo estuve muy ocupada con mis tareas del colegio",5,"Me encanto la charla, es un tema del que no había escuchado mucho y me dejó un buen aprendizaje."
06/10/2020 17:42:08,Ecuador,15,4,4,2,4,,No,NO,,,,,3,
06/10/2020 17:42:11,Ecuador ,15,5,5,3,4,"Aprendí mucho, como estos son muy difíciles de estudiar ya que todo lo que ingrese el agujero no puede salir.",Sí,NO,,,,Porque sé que hay mucha gente más con talento que puede hacer obras mucho más detalladas que yo.,3,Me gusto mucho la charla y el podcast. Cuando lo escuche la verdad es que me pareció muy interesante y me imagino que a muchas otras personas también!
06/10/2020 17:45:22,Ecuador,15,4,,3,4,"Una de las cosas que aprendí en el Podcast fue la formación de los agujeros negros, cosa que me pareció bastante interesante.",No,NO,,,,No participe porque la verdad es que yo no soy muy buena dibujando entonces sentía que esa no era mi zona. Pero igual me gusto mucho aprender sobre el tema.,2,No estuve en la charla :( pero no dudo que haya sido muy buena 
06/10/2020 17:51:49,Ecuador ,14,5,5,3,5,"Creo que el podcast me ayudo a estar Mucho mas interesada en el tema, puesto que me encanta saber sobre que podría haber en el espacio. Creo que fue uno de mis podcast favoritos.",Sí,NO,,,,No estaba enterada del concurso ,4,"Me encantaron las preguntas y la explicación, sin embargo, pienso que debí haber más tiempo para poder saber más."
06/10/2020 17:55:31,Ecuador ,14,4,5,2,4,Aprendí mucho más sobre los agujeros negros desde cómo se forman de que tamaños puede haber que pueden causarle a un humano si se acercar y muchas cosas más. ,No,NO,,,,No soy buena en arte y no disfruto mucho dibujando.,1,Yo pienso q ir la charla y todo lo demás estuvo perfecto 
06/10/2020 18:00:03,Ecuador ,14,5,5,3,5,"La distancia del agujero, el nombre y muhos más facts ",No,NO,,,,No se dibujar ,3,La charla en si me encanto estaba muy bien echa y completa 
06/10/2020 18:11:09,Ecuador,14,3,4,4,4,Que están muy lejos de la tierra y tienen nombres,No,NO,,,,Porque no tuve tiempo,3,"Algo que entra en el agujero, puede salir?"
06/10/2020 18:14:40,Ecuador ,17,3,4,1,3,,No,NO,,,,No soy muy creativa,,
06/10/2020 18:15:55,Ecuador ,15,5,5,3,5,"Aprendí muchas cosas interesantes como que Los agujeros negros se crean cuando una estrella agota su combustible, Los agujeros negros acostumbran a ser más pequeñops de lo que imaginamos , Y entre más cosas",No,SI,5,3,"La verdad me gusto mucho la charla , me quisiera que fuera mejor con menos gente talvez solo x promoción o por clase ,",,,
06/10/2020 18:21:59,Ecuador ,17,3,4,1,3,,No,NO,,,,No soy muy creativa,,
06/10/2020 18:30:19,Ecuador ,14,5,5,3,3,A veces el color del agujero negro tiene un diferente significado ,No,NO,,,,no tenía tiempo :( ,3,Me gusto la charla porque el señor hizo súper fácil la explicación y pude entender con claridad 
06/10/2020 18:44:03,Ecuador,15,5,5,3,4,,Sí,NO,,,,,2,
06/10/2020 18:55:11,Ecuador,15,5,5,2,5,"La velocidad  de escape para salir de la tierra son 11 km por segundo.
Una vez que estés en un agujero negro ya no puedes salir.",No,NO,,,,No tenía tiempo,5,Una pregunta que hice en la charla fue: ¿El agujero negro es estático o se mueve?
06/10/2020 19:08:14,Ecuador,15,3,4,2,4,"Que es un agujero negro, si podemos escapar de ellos, etc",No,NO,,,,Tenía otras clases extracurriculares y muchos deberes,4,Me gusto que fue interactivo todas las personas q tenía preguntas pudieron aclarar sus dudas. Fue algo diferente a lo que hacemos siempre.
06/10/2020 20:40:57,Ecuador ,14,4,4,2,4,Los agujeros negros siguen siendo un gran misterio y son mortales ,No,NO,,,,No sabía de el ,3,"Siento que debería de haber sido un poco más interactiva, es decir tener más tiempo pasta preguntas y respuestas, o que se haya enfocado en algo de los agujeros negros en específico ( solo hablar de como se crean o solo conversar de maneras en las que se pueden ver) "
06/10/2020 21:33:25,Ecuador ,16,5,5,2,4,,Sí,NO,,,,No tuve tiempo :( ,5,
06/10/2020 23:08:52,Ecuador ,14,5,5,3,5,"Creo que el podcast me ayudo a estar Mucho mas interesada en el tema, puesto que me encanta saber sobre que podría haber en el espacio. Creo que fue uno de mis podcast favoritos.",Sí,NO,,,,No estaba enterada del concurso ,4,"Me encantaron las preguntas y la explicación, sin embargo, pienso que debí haber más tiempo para poder saber más."
07/10/2020 01:28:53,Ecuador,16,3,4,3,4,Que hasta el día de hoy no se sabe con precisión como son los agujeros negros y que es lo que hay después de cruzar ese límite de horizonte ,No,NO,,,,porque me enteré relativamente tarde del concurso ,3,Me gusto mucho la charla! muy entretenida las imagines visuales realmente me ayudaron 
07/10/2020 01:30:11,Ecuador ,14,4,5,2,4,Aprendí mucho más sobre los agujeros negros desde cómo se forman de que tamaños puede haber que pueden causarle a un humano si se acercar y muchas cosas más. ,No,NO,,,,No soy buena en arte y no disfruto mucho dibujando.,1,Yo pienso q ir la charla y todo lo demás estuvo perfecto 
07/10/2020 01:53:44,Ecuador ,14,3,5,1,4,"Aprendí bastante sobre las ubicaciones de los agujeros negros y como se descubren nuevos.
",No,NO,,,,La verdad no soy muy buena con el arte y no me da en la tarde el tiempo.,2,Me gustaría una segunda charla con el Astrónomo Diego :)
07/10/2020 02:33:23,Ecuador,15,3,4,2,4,"Que es un agujero negro, si podemos escapar de ellos, etc",No,NO,,,,Tenía otras clases extracurriculares y muchos deberes,4,Me gusto que fue interactivo todas las personas q tenía preguntas pudieron aclarar sus dudas. Fue algo diferente a lo que hacemos siempre.
07/10/2020 15:45:49,Ecuador,15,4,,3,4,"Una de las cosas que aprendí en el Podcast fue la formación de los agujeros negros, cosa que me pareció bastante interesante.",No,NO,,,,No participe porque la verdad es que yo no soy muy buena dibujando entonces sentía que esa no era mi zona. Pero igual me gusto mucho aprender sobre el tema.,2,No estuve en la charla :( pero no dudo que haya sido muy buena 
07/10/2020 18:35:13,Ecuador ,14,4,3,5,4,Aprendí varias cosas de los agujeros negros,Sí,NO,,,,Nose,2,La verdad no pregunte solo escuche 
07/10/2020 18:40:08,Ecuador,17,5,5,2,4,"aprendí que existe un límite del que no se puede pasar cuando ye acercas a un agujero negro porque en ese límite necesitas la velocidad de la luz para poder escapar, y mientras más adentro vas, más velocidad necesitarías. claramente ninguna nave desarrollada hasta el momento viaja a la velocidad de la luz así que no se pueden acercar a ese límite porque no podrían regresar ",No,NO,,,,Me moria por participar pero me olvide por completo de inscribirme :(,5,"la verdad es que nunca considere estudiar astronomía ni nada parecido pero me pareció muy muy interesante la charla, me la repetiría sin dudarlo y si hubiesen más me encantaría asistir. me doy cuenta de que a veces conceptos que pensamos que no podríamos entender nunca pueden simplificarse para llegar a captar algo y me pareció que la charla lo consiguió felicitaciones. me hubiese gustado sin embargo hacer preguntas, que por el tiempo ya no alcance. espero que haya otra oportunidad, porque no soy de esas personas que se quedan con la duda jajajaj mil gracias!"
07/10/2020 20:04:30,Ecuador ,14,4,3,5,4,Aprendí varias cosas de los agujeros negros,Sí,NO,,,,Nose,2,La verdad no pregunte solo escuche 
