What did you learn today? (artists),Coded learning (artists),What did you learn today? (students),Coded learning (students),"Coded learning (1=other,2=generic,3=basic,4=advanced,5=research specific)"
,,"Aprendí gran variedad de cosas y averigüe mis dudas, tales como, ubicación, tamaño, etc.",2,
"Aprendí que no se ven los agujeros negros, pero se observa como interactúan con su alrededor, eso me pareció muy interesante.",4,,,
"El proceso de espaguetizacion lo conocía pero no sabía cómo se llamaba, no sabía cómo nacían ni de dónde obtenían energía, ni como se les había ocurrido estudiarlos siendo un objeto espacial tan lejano y extraño.",3,Si,,
,,"Un agujero negro siempre esta acompañado de una estrella, también que el tiempo adentro del agujero negro varia puede ser mas rápido o mas lento ",3,
"- Como nacen los agujeros negros y sus características.
- que pasaría si una persona entra en uno
- como los astrónomos identifican los agujeros",3,Sobre como es el proceso antes y dentro de un agujero negro,3,
,,Que un agujero negro siempre va acompañado de una estrella,,
,,En la charla con el maestro Diego Altamirano fue muy interesante ya que aprendí muchas cosas nuevas de las que no sabía cómo por ejemplo.¿Que pasaría al entrar a un agujero negro? ¿Que pasaría si un agujero negro chocará contra otro?¿Un agujero negro es capaz de tragar a el planeta tierra?¿Cuántos tipos de agujeros negros hay? Y haci y muchas cosas más aprendí de acuerdo al tema,3,
,,,,
"Aprendí el término ""espaguietización"" y lo que conlleva, también sobre cómo se alimentan algunos agujeros negros a partir de estrellas u otros cuerpos celestes ",3,,,
,,Que son estrellas que explotan y que su energia hace que se forme el hoyo negro,4,
,,Los agujeros negros tienen una concentración de masa en su interior y nada ni siquiera la luz puede salir de su campo gravitatorio,4,
,,Aprendí que el tiempo es mas lento dentro de los agujeros negros ,3,
LA ESTRUCTURA DE LOS AGUJEROS NEGROS.,2,Aprendi que nadie se puede meter a un agujero negro. ,4,
Aprendí que nisiquiera la luz puede escapar del agujero negro cuando ya se cruza este horizonte de sucesos. Nada puede escapar. Eso me hace ver estos agujeros negros como verdaderas bestias colosales que devoran todo a su paso.,4,Por medio de la charla aprendí mas a profundidad que es un agujero negro y como puedo verlo por medio de telescopios del espacio. Ademas aprendí que es imposible salir de un agujero negro.,4,
Aprendí que nadie sabe que hay dentro de los agujeros negros y que hay 1 en la galaxia con más luz también que son tan densos que por eso pueden absorber luz,5,Aprendí que los agujeros negros pueden ser bastante peligrosos. Hay también dos tipos de agujeros negros. Hay probabilidades además de poder viajar a través de un agujero negro. ,2,
Aprendí sobre la inmensidad del espacio y la gran fuerza de los agujeros negros así como los fenómenos que estos desencadenan ,2,"- Que dos masas siempre se atraen, así que como la tierra tiene masa y nosotros tenemos masa, nos atraemos.
- El tamaño de los agujeros negros chicos es 10 veces la masa del sol.
- No se puede viajar más rápido de la luz.
- Los astrónomos usan telescopios espaciales.
- Si entras a un agujero negro no puedes escapar.",4,
Me gusto la parte de los posibles fenómenos físicos que se podrían experimentar en un agujero negro,3,Que es difícil investigar sobre los agujeros negros porque lo que entra ahi no sale,3,
Cómo algo tan pequeño puede contener la masa de millones de soles.,4,"Aprendí acerca de la velocidad de escape, la espaguetización, y en general, el concepto de agujero negro.",4,
Que los agujeros negros existen,2,La formación de los agujeros negros y características ,3,
